,semana,of,descricao material,descricao consumo,ct
193,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
194,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
195,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
196,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
197,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
198,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
199,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
200,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
201,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
202,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
203,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
204,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
205,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
206,19,1600052905,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
207,19,1600072676,"PL CC 8403/000 915X610X12,5 NE",BL CC 8403/ORT 915X610X200 NE,CNMLAMPL
208,19,1600070595,"PL CC 8403/000 915X610X6,0 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
209,19,1600070595,"PL CC 8403/000 915X610X6,0 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
210,19,1600070595,"PL CC 8403/000 915X610X6,0 NE",BL CC 8403/ORT 915X610X250 NE,CNMLAMPL
