Sum Quantity,,,
MaterialKey,MaterialName,Lot,Total
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT201177,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT201332,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT201393,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT201443,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT201766,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT201775,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT201794,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT201824,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT201862,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT202068,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT202121,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT210219,1525
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT210310,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT210368,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT210430,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT210454,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT210504,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT210608,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT210730,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT210783,1154
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT210830,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT210870,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT210871,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT210927,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT211008,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT211045,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT211138,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT211237,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT211251,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT211295,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT211394,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT211459,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT211475,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT211481,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT211528,1700
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT211746,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT211823,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT211971,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT212092,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT212106,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT212147,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT212172,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT212249,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT212259,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,CORT212336,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,GOLIVE,0
33000039,CT. TRIT N V - COZ ESP. ROLHAS,GRAN210865,0
33000046,CT. TRIT N V - COZ REFUGO,CORT000328,0
33000046,CT. TRIT N V - COZ REFUGO,CORT000329,0
33000046,CT. TRIT N V - COZ REFUGO,CORT000346,0
33000046,CT. TRIT N V - COZ REFUGO,CORT000367,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200154,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200155,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200156,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200157,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200180,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200181,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200182,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200225,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200227,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200228,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200229,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200230,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200248,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200257,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200275,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200384,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200490,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200499,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200507,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200534,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200551,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200574,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200575,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200599,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200616,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200627,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200655,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200681,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200688,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200698,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200711,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200739,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200768,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200777,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200784,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200814,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200817,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200845,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200846,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200870,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200880,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200882,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200948,0
33000046,CT. TRIT N V - COZ REFUGO,CORT200949,0
33000046,CT. TRIT N V - COZ REFUGO,CORT201071,0
33000046,CT. TRIT N V - COZ REFUGO,CORT201074,0
33000046,CT. TRIT N V - COZ REFUGO,CORT201077,0
33000046,CT. TRIT N V - COZ REFUGO,CORT201109,0
33000046,CT. TRIT N V - COZ REFUGO,CORT201120,0
33000046,CT. TRIT N V - COZ REFUGO,CORT201127,0
33000046,CT. TRIT N V - COZ REFUGO,CORT201155,0
33000046,CT. TRIT N V - COZ REFUGO,CORT201159,0
33000046,CT. TRIT N V - COZ REFUGO,CORT201166,0
33000046,CT. TRIT N V - COZ REFUGO,CORT201272,0
33000046,CT. TRIT N V - COZ REFUGO,CORT201279,0
33000046,CT. TRIT N V - COZ REFUGO,CORT201352,0
33000046,CT. TRIT N V - COZ REFUGO,CORT201354,0
33000046,CT. TRIT N V - COZ REFUGO,CORT201355,0
33000046,CT. TRIT N V - COZ REFUGO,CORT201363,0
33000046,CT. TRIT N V - COZ REFUGO,CORT201366,0
33000046,CT. TRIT N V - COZ REFUGO,CORT201368,0
33000046,CT. TRIT N V - COZ REFUGO,CORT201374,0
33000046,CT. TRIT N V - COZ REFUGO,CORT201380,0
33000046,CT. TRIT N V - COZ REFUGO,CORT201388,0
33000046,CT. TRIT N V - COZ REFUGO,CORT201440,0
33000046,CT. TRIT N V - COZ REFUGO,CORT201444,0
33000046,CT. TRIT N V - COZ REFUGO,CORT201452,0
33000046,CT. TRIT N V - COZ REFUGO,CORT201454,0
33000046,CT. TRIT N V - COZ REFUGO,CORT201497,0
